,Abbr,Fullform
0,Slag,Meaning
1,#1,Number one
2,$,Dollar
3,$_$,Has money
4,%),Drunk
5,&,And
6,&APOS;S,Wrongly displayed 's
7,><,Frustration
8,">,<",Angry
9,>.>,Suspicious
10,>.<,Frustrated
11,>//<,Embarrassed
12,>3,Evil but happy
13,>:(,Angry
14,>:),Evil Grin
15,>:D,Scheming
16,>:D<,Hug
17,>:O,Angry
18,>O<,Yelling
19,>_>,Looking left
20,>_<,Frustrated
21,&HEARTS;,HTML code for a heart
22,<#,Misspelling of <3
23,<>,Not equal
24,<><,Fish
25,<.<,Shifty look
26,</3,Broken Hearted
27,<2,Not quite love 
28,<3,Love 
29,<333,Multiple hearts
30,<3U,Love You
31,<4,More than love 
32,<B,Hate
33,<G>,Grin
34,<_<,Sarcasm
35,'EM,Them
36,(!),Sarcasm
37,('_'),Emoticon Representing Boredom
38,(.)(.),Female Breasts
39,(8),Musical note 
40,(:,Happy
41,(A),Angel 
42,(H),Cool dude emoticon 
43,(K),Kiss 
44,(L),Love heart 
45,(N),Thumbs down 
46,(S),Seriously
47,(U),Heartbroken
48,(Y),Thumbs up 
49,(YN),Fingers crossed 
50,(^^^),Shark
51,(_8^(I),Homer Simpson
52,({)(}),Two People Hugging
53,*,Indicating a spelling correction
54,*$,Starbucks
55,*$$,Starbucks
56,*<:-),Clown
57,*.*,Every file on a computer
58,*G*,Grin
59,*HUG*,A Cyberhug
60,*O*,Confused
61,*S*,Salute
62,*\O/*,Cheerleader
63,*_*,In love
64,+1,Partner 
65,+REP,Boost reputation
66,+_+,Dead man
67,-.-,Annoyance
68,-_-,Annoyed
69,.-.,Sad
70,...,Silence
71,.BIZ,Top level domain for business
72,.CO,Alternative to .COM
73,.COM,commerce
74,.EDU,education
75,.GOV,governments
76,.MIL,military
77,.NET,network providers
78,.ORG,non-profit organizations
79,._.,Emoticon Representing Apathy
80,/.\,Shy
81,//,Love
82,/:),Flirtation 
83,/B/,4chan's random image board
84,/O/,Happy
85,/O\,Frustrated
86,/R/,Requesting
87,/S,Sarcasm
88,/THREAD,End of a thread on a forum
89,/W,Whisper
90,0.0,Surprise
